Case_ID,Timestamp,Activity
case_id442529840,2024-10-01T23:13:10+01:00,e
case_id442529840,2024-10-01T23:13:10+01:00,c
case_id442529840,2024-10-01T23:13:10+01:00,f
case_id442529840,2024-10-01T23:13:10+01:00,b
case_id442529840,2024-10-01T23:13:10+01:00,F
case_id442529840,2024-10-01T23:13:10+01:00,d
case_id442529840,2024-10-01T23:13:10+01:00,g
case_id442529840,2024-10-01T23:13:10+01:00,K
case_id442529840,2024-10-01T23:13:10+01:00,E
case_id442529840,2024-10-01T23:13:10+01:00,A
case_id1488417621,2024-10-01T23:13:10+01:00,g
case_id1488417621,2024-10-01T23:13:10+01:00,c
case_id1488417621,2024-10-01T23:13:10+01:00,a
case_id1488417621,2024-10-01T23:13:10+01:00,b
case_id1488417621,2024-10-01T23:13:10+01:00,D
case_id1488417621,2024-10-01T23:13:10+01:00,e
case_id1488417621,2024-10-01T23:13:10+01:00,d
case_id1488417621,2024-10-01T23:13:10+01:00,f
case_id1488417621,2024-10-01T23:13:10+01:00,F
case_id1488417621,2024-10-01T23:13:10+01:00,K
case_id1488417621,2024-10-01T23:13:10+01:00,E
case_id1488417621,2024-10-01T23:13:10+01:00,A
case_id608328233,2024-10-01T23:13:10+01:00,g
case_id608328233,2024-10-01T23:13:10+01:00,a
case_id608328233,2024-10-01T23:13:10+01:00,f
case_id608328233,2024-10-01T23:13:10+01:00,c
case_id608328233,2024-10-01T23:13:10+01:00,b
case_id608328233,2024-10-01T23:13:10+01:00,e
case_id608328233,2024-10-01T23:13:10+01:00,F
case_id608328233,2024-10-01T23:13:10+01:00,D
case_id608328233,2024-10-01T23:13:10+01:00,K
case_id608328233,2024-10-01T23:13:10+01:00,d
case_id608328233,2024-10-01T23:13:10+01:00,E
case_id608328233,2024-10-01T23:13:10+01:00,A
case_id1421463548,2024-10-01T23:13:10+01:00,a
case_id1421463548,2024-10-01T23:13:10+01:00,D
case_id1421463548,2024-10-01T23:13:10+01:00,b
case_id1421463548,2024-10-01T23:13:10+01:00,d
case_id1421463548,2024-10-01T23:13:10+01:00,e
case_id1421463548,2024-10-01T23:13:10+01:00,F
case_id1421463548,2024-10-01T23:13:10+01:00,g
case_id1421463548,2024-10-01T23:13:10+01:00,f
case_id1421463548,2024-10-01T23:13:10+01:00,c
case_id1421463548,2024-10-01T23:13:10+01:00,K
case_id1421463548,2024-10-01T23:13:10+01:00,E
case_id1421463548,2024-10-01T23:13:10+01:00,C
case_id1421463548,2024-10-01T23:13:10+01:00,A
case_id1706325585,2024-10-01T23:13:10+01:00,b
case_id1706325585,2024-10-01T23:13:10+01:00,d
case_id1706325585,2024-10-01T23:13:10+01:00,g
case_id1706325585,2024-10-01T23:13:10+01:00,f
case_id1706325585,2024-10-01T23:13:10+01:00,c
case_id1706325585,2024-10-01T23:13:10+01:00,e
case_id1706325585,2024-10-01T23:13:10+01:00,a
case_id1706325585,2024-10-01T23:13:10+01:00,F
case_id1706325585,2024-10-01T23:13:10+01:00,K
case_id1706325585,2024-10-01T23:13:10+01:00,D
case_id1706325585,2024-10-01T23:13:10+01:00,E
case_id1706325585,2024-10-01T23:13:10+01:00,A
case_id1706152090,2024-10-01T23:13:10+01:00,g
case_id1706152090,2024-10-01T23:13:10+01:00,c
case_id1706152090,2024-10-01T23:13:10+01:00,f
case_id1706152090,2024-10-01T23:13:10+01:00,e
case_id1706152090,2024-10-01T23:13:10+01:00,d
case_id1706152090,2024-10-01T23:13:10+01:00,F
case_id1706152090,2024-10-01T23:13:10+01:00,K
case_id1706152090,2024-10-01T23:13:10+01:00,b
case_id1706152090,2024-10-01T23:13:10+01:00,E
case_id1706152090,2024-10-01T23:13:10+01:00,A
case_id1144140638,2024-10-01T23:13:10+01:00,f
case_id1144140638,2024-10-01T23:13:10+01:00,a
case_id1144140638,2024-10-01T23:13:10+01:00,c
case_id1144140638,2024-10-01T23:13:10+01:00,g
case_id1144140638,2024-10-01T23:13:10+01:00,d
case_id1144140638,2024-10-01T23:13:10+01:00,e
case_id1144140638,2024-10-01T23:13:10+01:00,F
case_id1144140638,2024-10-01T23:13:10+01:00,K
case_id1144140638,2024-10-01T23:13:10+01:00,b
case_id1144140638,2024-10-01T23:13:10+01:00,D
case_id1144140638,2024-10-01T23:13:10+01:00,E
case_id1144140638,2024-10-01T23:13:10+01:00,A
