Case_ID,Timestamp,Activity
case_id1065443645,2024-10-01T23:13:09+01:00,e
case_id1065443645,2024-10-01T23:13:09+01:00,F
case_id1065443645,2024-10-01T23:13:09+01:00,f
case_id1065443645,2024-10-01T23:13:09+01:00,g
case_id1065443645,2024-10-01T23:13:09+01:00,K
case_id1065443645,2024-10-01T23:13:09+01:00,E
case_id1065443645,2024-10-01T23:13:09+01:00,A
case_id1179858692,2024-10-01T23:13:09+01:00,e
case_id1179858692,2024-10-01T23:13:09+01:00,F
case_id1179858692,2024-10-01T23:13:09+01:00,f
case_id1179858692,2024-10-01T23:13:09+01:00,g
case_id1179858692,2024-10-01T23:13:09+01:00,K
case_id1179858692,2024-10-01T23:13:09+01:00,E
case_id1179858692,2024-10-01T23:13:09+01:00,A
case_id1841166166,2024-10-01T23:13:09+01:00,e
case_id1841166166,2024-10-01T23:13:09+01:00,F
case_id1841166166,2024-10-01T23:13:09+01:00,f
case_id1841166166,2024-10-01T23:13:09+01:00,g
case_id1841166166,2024-10-01T23:13:09+01:00,K
case_id1841166166,2024-10-01T23:13:09+01:00,E
case_id1841166166,2024-10-01T23:13:09+01:00,A
case_id397058667,2024-10-01T23:13:09+01:00,e
case_id397058667,2024-10-01T23:13:09+01:00,F
case_id397058667,2024-10-01T23:13:09+01:00,f
case_id397058667,2024-10-01T23:13:09+01:00,g
case_id397058667,2024-10-01T23:13:09+01:00,K
case_id397058667,2024-10-01T23:13:09+01:00,E
case_id397058667,2024-10-01T23:13:09+01:00,A
case_id1512237791,2024-10-01T23:13:09+01:00,e
case_id1512237791,2024-10-01T23:13:09+01:00,F
case_id1512237791,2024-10-01T23:13:09+01:00,f
case_id1512237791,2024-10-01T23:13:09+01:00,g
case_id1512237791,2024-10-01T23:13:09+01:00,K
case_id1512237791,2024-10-01T23:13:09+01:00,E
case_id1512237791,2024-10-01T23:13:09+01:00,A
case_id1059573738,2024-10-01T23:13:09+01:00,e
case_id1059573738,2024-10-01T23:13:09+01:00,F
case_id1059573738,2024-10-01T23:13:09+01:00,f
case_id1059573738,2024-10-01T23:13:09+01:00,g
case_id1059573738,2024-10-01T23:13:09+01:00,K
case_id1059573738,2024-10-01T23:13:09+01:00,E
case_id1059573738,2024-10-01T23:13:09+01:00,A
case_id117836082,2024-10-01T23:13:09+01:00,e
case_id117836082,2024-10-01T23:13:09+01:00,F
case_id117836082,2024-10-01T23:13:09+01:00,f
case_id117836082,2024-10-01T23:13:09+01:00,g
case_id117836082,2024-10-01T23:13:09+01:00,K
case_id117836082,2024-10-01T23:13:09+01:00,E
case_id117836082,2024-10-01T23:13:09+01:00,A
case_id1249449050,2024-10-01T23:13:09+01:00,e
case_id1249449050,2024-10-01T23:13:09+01:00,F
case_id1249449050,2024-10-01T23:13:09+01:00,f
case_id1249449050,2024-10-01T23:13:09+01:00,g
case_id1249449050,2024-10-01T23:13:09+01:00,K
case_id1249449050,2024-10-01T23:13:09+01:00,E
case_id1249449050,2024-10-01T23:13:09+01:00,A
case_id948144358,2024-10-01T23:13:09+01:00,e
case_id948144358,2024-10-01T23:13:09+01:00,F
case_id948144358,2024-10-01T23:13:09+01:00,f
case_id948144358,2024-10-01T23:13:09+01:00,g
case_id948144358,2024-10-01T23:13:09+01:00,K
case_id948144358,2024-10-01T23:13:09+01:00,E
case_id948144358,2024-10-01T23:13:09+01:00,A
case_id1907235177,2024-10-01T23:13:09+01:00,e
case_id1907235177,2024-10-01T23:13:09+01:00,F
case_id1907235177,2024-10-01T23:13:09+01:00,f
case_id1907235177,2024-10-01T23:13:09+01:00,g
case_id1907235177,2024-10-01T23:13:09+01:00,K
case_id1907235177,2024-10-01T23:13:09+01:00,E
case_id1907235177,2024-10-01T23:13:09+01:00,A
case_id1399673499,2024-10-01T23:13:09+01:00,e
case_id1399673499,2024-10-01T23:13:09+01:00,F
case_id1399673499,2024-10-01T23:13:09+01:00,f
case_id1399673499,2024-10-01T23:13:09+01:00,g
case_id1399673499,2024-10-01T23:13:09+01:00,K
case_id1399673499,2024-10-01T23:13:09+01:00,E
case_id1399673499,2024-10-01T23:13:09+01:00,A
case_id177076359,2024-10-01T23:13:09+01:00,e
case_id177076359,2024-10-01T23:13:09+01:00,F
case_id177076359,2024-10-01T23:13:09+01:00,f
case_id177076359,2024-10-01T23:13:09+01:00,g
case_id177076359,2024-10-01T23:13:09+01:00,K
case_id177076359,2024-10-01T23:13:09+01:00,E
case_id177076359,2024-10-01T23:13:09+01:00,A
case_id1691173801,2024-10-01T23:13:09+01:00,e
case_id1691173801,2024-10-01T23:13:09+01:00,F
case_id1691173801,2024-10-01T23:13:09+01:00,f
case_id1691173801,2024-10-01T23:13:09+01:00,g
case_id1691173801,2024-10-01T23:13:09+01:00,K
case_id1691173801,2024-10-01T23:13:09+01:00,E
case_id1691173801,2024-10-01T23:13:09+01:00,A
case_id789296946,2024-10-01T23:13:09+01:00,e
case_id789296946,2024-10-01T23:13:09+01:00,F
case_id789296946,2024-10-01T23:13:09+01:00,f
case_id789296946,2024-10-01T23:13:09+01:00,g
case_id789296946,2024-10-01T23:13:09+01:00,K
case_id789296946,2024-10-01T23:13:09+01:00,E
case_id789296946,2024-10-01T23:13:09+01:00,A
case_id1915435395,2024-10-01T23:13:09+01:00,e
case_id1915435395,2024-10-01T23:13:09+01:00,F
case_id1915435395,2024-10-01T23:13:09+01:00,f
case_id1915435395,2024-10-01T23:13:09+01:00,g
case_id1915435395,2024-10-01T23:13:09+01:00,K
case_id1915435395,2024-10-01T23:13:09+01:00,E
case_id1915435395,2024-10-01T23:13:09+01:00,A
case_id1501692528,2024-10-01T23:13:09+01:00,e
case_id1501692528,2024-10-01T23:13:09+01:00,F
