Case_ID,Timestamp,Activity
case_id141138203,2024-10-01T23:13:09+01:00,a
case_id141138203,2024-10-01T23:13:09+01:00,D
case_id141138203,2024-10-01T23:13:09+01:00,b
case_id141138203,2024-10-01T23:13:09+01:00,c
case_id141138203,2024-10-01T23:13:09+01:00,C
case_id141138203,2024-10-01T23:13:09+01:00,d
case_id141138203,2024-10-01T23:13:09+01:00,B
case_id141138203,2024-10-01T23:13:09+01:00,A
case_id1384290663,2024-10-01T23:13:09+01:00,a
case_id1384290663,2024-10-01T23:13:09+01:00,D
case_id1384290663,2024-10-01T23:13:09+01:00,b
case_id1384290663,2024-10-01T23:13:09+01:00,c
case_id1384290663,2024-10-01T23:13:09+01:00,C
case_id1384290663,2024-10-01T23:13:09+01:00,d
case_id1384290663,2024-10-01T23:13:09+01:00,B
case_id1384290663,2024-10-01T23:13:09+01:00,A
case_id2018695618,2024-10-01T23:13:09+01:00,a
case_id2018695618,2024-10-01T23:13:09+01:00,D
case_id2018695618,2024-10-01T23:13:09+01:00,b
case_id2018695618,2024-10-01T23:13:09+01:00,c
case_id2018695618,2024-10-01T23:13:09+01:00,C
case_id2018695618,2024-10-01T23:13:09+01:00,d
case_id2018695618,2024-10-01T23:13:09+01:00,B
case_id2018695618,2024-10-01T23:13:09+01:00,A
case_id357158217,2024-10-01T23:13:09+01:00,a
case_id357158217,2024-10-01T23:13:09+01:00,D
case_id357158217,2024-10-01T23:13:09+01:00,b
case_id357158217,2024-10-01T23:13:09+01:00,c
case_id357158217,2024-10-01T23:13:09+01:00,C
case_id357158217,2024-10-01T23:13:09+01:00,d
case_id357158217,2024-10-01T23:13:09+01:00,B
case_id357158217,2024-10-01T23:13:09+01:00,A
case_id2129130948,2024-10-01T23:13:09+01:00,a
case_id2129130948,2024-10-01T23:13:09+01:00,D
case_id2129130948,2024-10-01T23:13:09+01:00,b
case_id2129130948,2024-10-01T23:13:09+01:00,c
case_id2129130948,2024-10-01T23:13:09+01:00,C
case_id2129130948,2024-10-01T23:13:09+01:00,d
case_id2129130948,2024-10-01T23:13:09+01:00,B
case_id2129130948,2024-10-01T23:13:09+01:00,A
case_id160248743,2024-10-01T23:13:09+01:00,a
case_id160248743,2024-10-01T23:13:09+01:00,D
case_id160248743,2024-10-01T23:13:09+01:00,b
case_id160248743,2024-10-01T23:13:09+01:00,c
case_id160248743,2024-10-01T23:13:09+01:00,C
case_id160248743,2024-10-01T23:13:09+01:00,d
case_id160248743,2024-10-01T23:13:09+01:00,B
case_id160248743,2024-10-01T23:13:09+01:00,A
case_id728101144,2024-10-01T23:13:09+01:00,a
case_id728101144,2024-10-01T23:13:09+01:00,D
case_id728101144,2024-10-01T23:13:09+01:00,b
case_id728101144,2024-10-01T23:13:09+01:00,c
case_id728101144,2024-10-01T23:13:09+01:00,C
case_id728101144,2024-10-01T23:13:09+01:00,d
case_id728101144,2024-10-01T23:13:09+01:00,B
case_id728101144,2024-10-01T23:13:09+01:00,A
case_id763852439,2024-10-01T23:13:09+01:00,a
case_id763852439,2024-10-01T23:13:09+01:00,D
case_id763852439,2024-10-01T23:13:09+01:00,b
case_id763852439,2024-10-01T23:13:09+01:00,c
case_id763852439,2024-10-01T23:13:09+01:00,C
case_id763852439,2024-10-01T23:13:09+01:00,d
case_id763852439,2024-10-01T23:13:09+01:00,B
case_id763852439,2024-10-01T23:13:09+01:00,A
case_id1404973499,2024-10-01T23:13:09+01:00,a
