Case_ID,Timestamp,Activity
case_id2073856038,2024-10-01T23:13:10+01:00,f
case_id2073856038,2024-10-01T23:13:10+01:00,b
case_id2073856038,2024-10-01T23:13:10+01:00,a
case_id2073856038,2024-10-01T23:13:10+01:00,D
case_id2073856038,2024-10-01T23:13:10+01:00,e
case_id2073856038,2024-10-01T23:13:10+01:00,c
case_id2073856038,2024-10-01T23:13:10+01:00,g
case_id2073856038,2024-10-01T23:13:10+01:00,d
case_id2073856038,2024-10-01T23:13:10+01:00,F
case_id2073856038,2024-10-01T23:13:10+01:00,K
case_id2073856038,2024-10-01T23:13:10+01:00,E
case_id2073856038,2024-10-01T23:13:10+01:00,A
case_id797886761,2024-10-01T23:13:10+01:00,d
case_id797886761,2024-10-01T23:13:10+01:00,b
case_id797886761,2024-10-01T23:13:10+01:00,g
case_id797886761,2024-10-01T23:13:10+01:00,e
case_id797886761,2024-10-01T23:13:10+01:00,F
case_id797886761,2024-10-01T23:13:10+01:00,f
case_id797886761,2024-10-01T23:13:10+01:00,a
case_id797886761,2024-10-01T23:13:10+01:00,D
case_id797886761,2024-10-01T23:13:10+01:00,K
case_id797886761,2024-10-01T23:13:10+01:00,E
case_id797886761,2024-10-01T23:13:10+01:00,c
case_id797886761,2024-10-01T23:13:10+01:00,A
case_id1054621113,2024-10-01T23:13:10+01:00,c
case_id1054621113,2024-10-01T23:13:10+01:00,f
case_id1054621113,2024-10-01T23:13:10+01:00,d
case_id1054621113,2024-10-01T23:13:10+01:00,e
case_id1054621113,2024-10-01T23:13:10+01:00,b
case_id1054621113,2024-10-01T23:13:10+01:00,F
case_id1054621113,2024-10-01T23:13:10+01:00,g
case_id1054621113,2024-10-01T23:13:10+01:00,K
case_id1054621113,2024-10-01T23:13:10+01:00,E
case_id1054621113,2024-10-01T23:13:10+01:00,A
case_id1869189808,2024-10-01T23:13:10+01:00,e
case_id1869189808,2024-10-01T23:13:10+01:00,b
case_id1869189808,2024-10-01T23:13:10+01:00,F
case_id1869189808,2024-10-01T23:13:10+01:00,g
case_id1869189808,2024-10-01T23:13:10+01:00,d
case_id1869189808,2024-10-01T23:13:10+01:00,a
case_id1869189808,2024-10-01T23:13:10+01:00,c
case_id1869189808,2024-10-01T23:13:10+01:00,f
case_id1869189808,2024-10-01T23:13:10+01:00,D
case_id1869189808,2024-10-01T23:13:10+01:00,K
case_id1869189808,2024-10-01T23:13:10+01:00,E
case_id1869189808,2024-10-01T23:13:10+01:00,A
case_id1435808345,2024-10-01T23:13:10+01:00,e
case_id1435808345,2024-10-01T23:13:10+01:00,b
case_id1435808345,2024-10-01T23:13:10+01:00,g
case_id1435808345,2024-10-01T23:13:10+01:00,d
case_id1435808345,2024-10-01T23:13:10+01:00,a
case_id1435808345,2024-10-01T23:13:10+01:00,F
case_id1435808345,2024-10-01T23:13:10+01:00,f
case_id1435808345,2024-10-01T23:13:10+01:00,c
case_id1435808345,2024-10-01T23:13:10+01:00,K
case_id1435808345,2024-10-01T23:13:10+01:00,E
case_id1435808345,2024-10-01T23:13:10+01:00,D
case_id1435808345,2024-10-01T23:13:10+01:00,A
case_id1071916572,2024-10-01T23:13:10+01:00,c
case_id1071916572,2024-10-01T23:13:10+01:00,e
case_id1071916572,2024-10-01T23:13:10+01:00,b
case_id1071916572,2024-10-01T23:13:10+01:00,g
case_id1071916572,2024-10-01T23:13:10+01:00,a
case_id1071916572,2024-10-01T23:13:10+01:00,f
case_id1071916572,2024-10-01T23:13:10+01:00,F
case_id1071916572,2024-10-01T23:13:10+01:00,D
case_id1071916572,2024-10-01T23:13:10+01:00,d
case_id1071916572,2024-10-01T23:13:10+01:00,K
